Сryptocurrency	Symbol	Algorithm	Year
Bitcoin	BTC	SHA-256	2009
Ethereum	ETH	Dagger-Hashimoto	2015
Litecoin	LTC	Scrypt	2011
Ripple	XRP	ECDSA	2013
Siacoin	SC	blake2b	2015
EthereumClassic	ETC	Dagger-Hashimoto	2015
Dash	DASH	X11	2014
BitShares	BTS	Transaction fee	2014
Monero	XMR	CPU mining; CryptoNight	2014
Augur	REP	Smart contract	2015
Stratis	STRAT		2016
Zcash	ZEC	Equihash	2016
Factom	FCT	Transaction fee	2015
NEM	XEM	blockchain	2015
DigiByte	DGB	SHA-256;Scrypt;Qubit;Skein;Groestl	2014
Dogecoin	DOGE	Scrypt	2013
Nxt	NXT	Transaction fee	2013
Dashcoin	DSH	CPU mining; CryptoNight	2014
Decred	DCR	Blake256	2015
Steemit	STEEM	SHA-256	2016
MaidSafeCoin	MAID	Transaction fee	2014
lbryCoin	LBC	LBRY	2016
Syscoin	SYS	Scrypt	2014
Potcoin	POT	Scrypt	2014
BlackCoin	BLK	Scrypt	2014
ByteCoin	BCN	CPU mining; CryptoNight	2012
BURST	BURST	Transaction fee	2014
Clams	CLAM	Transaction fee	2014
ViaCoin	VIA	Scrypt	2014
VeriCoin	VRC	Scrypt	2014
BelaCoin	BELA	Scrypt	2014
VertCoin	VTC	Lyra2RE	2014
NeosCoin	NEOS	SHA-256	2014
BitcoinPlus	XBC	X13	2015
Nautiluscoin	NAUT	NXT	2014
Peercoin	PPC	SHA-256	2012
Myriad-Scrypt	MYR	Scrypt; SHA-256D; Qubit; Skein; Groestl	2014
Nexium	NXC	blockchain Ethereum	
FoldingCoin	FLDC	Stanford Folding	2014
Namecoin	NMC	SHA-256; Merged mining	2011
Counterparty	XCP	Transaction fee	2014
Expanse	EXP	Dagger-Hashimoto	2015
Florin	FLO	Scrypt	2013
Gridcoin	GRC	BOINC	2013
PascalCoin	PASC	SHA-256	2016
Navcoin	NAV	X13	2014
BitcoinDark	BTCD	SHA-256	2014
Primecoin	XPM	CPU mining; Cunningham	2013
BitConnect	BCC	Scrypt	2016
BitCrystals	BCY	base Counterparty	2015
PinkCoin	PINK	X11	2014
Radium	RADS	Smartchain	2015
DNotes	NOTE	Scrypt	2014
EmerCoin	EMC	SHA-256	2013
Cloakcoin	CLOAK	X13	2014
ElCoin	EL	Base Ethereum	2015
Huntercoin	HUC	SHA-256; Scrypt	2014
RieCoin	RIC	CPU mining	2014
Sibcoin	SIB	X11gost	2015
LEOcoin	LEO	Scrypt-jane	2014
Bitmark	BTM	Scrypt	2014
Polybius	PLBT	Smart contract	2017
Vcash	XVC	Blake256	2014
Novacoin	NVC	Scrypt	2012
Fastcoin	FST	Scrypt	2013
Waves	WAVES	Transaction fee	2016
CureCoin	CURE	SHA-256	2014
EDinar	EDR		2015
Voxels	VOX	Scrypt	2015
Iconomi	ICN	Smart contract	2015
Transfercoin	TX	X11	2015
BitSend	BSD	X11	2014
ArcticCoin	ARC	Scrypt	2015?
Sexcoin	SXC	Scrypt	2013
MonaCoin	MONA	Lyra2RE	2013
Craftcoin	CRC	Scrypt	2013
Yocoin	YOC	Smart contract	2016
Bata	BTA	Scrypt	2015
UNCoin	UNC	X11	2014
Solarcoin	SLR	Scrypt	2014
TrumpCoin	TRUMP	Blake256	2016
PostCoin	POST		2016
CrevaCoin	CREVA	Scrypt	2015
HellenicCoin	HNC	Scrypt	2015
AdzCoin	ADZ	X11	2015
Dimecoin	DIME	base Quark	2013
Leadcoin	LDC	Scrypt	2014
BlueCoin	BLU	X11	2014
DaMaCoin	DMC	Scrypt	2014
BitcoinUnlimited	BCU	SHA-256	
DrCoin	ISK	Scrypt	2013
10kCoin	10K	SHA-256; Scrypt; X11	2015
1Credit	1CR	Scrypt	2014
2GiveCoin	2GIVE	Scrypt	2016
365coin	365	Keccak	2014
42Coin	42	Scrypt	2014
66Coin	66	Scrypt	2014
Achilles	ACH	X11	2014
Acoin	ACOIN	SHA-256	2014
AeonCoin	AEON	CPU mining; CryptoNight	2014
AeroCoin	AERO	X13	2014
AidBit	AID	Groestl	2014
Aiden	ADN	Scrypt-OG	2014
AIRcoin	AIR	Scrypt	2014
AlexiumCoin	AUM	Scrypt	2015
AlienCoin	ALN	Scrypt	2014
Alipaycoin	ALI	X14	2014
Alphacoin	ALF	Scrypt	2013
AmberCoin	AMBER	X13	2014
AmericanCoin	AMC	Scrypt	2013
Amygws	AMY	Scrypt	2017
AndroidsTokens	ADT	Transaction fee	2013
AnimeCoin	ANI	base Quark	2014
Anoncoin	ANC	Scrypt	2013
AntimatterCoin	ANT	Scrypt	2014
ApexCoin	APEX	X13	2014
AphroditeCoin	APH	Scrypt	2014
AppCoin	APP	Scrypt	2014
AppleBytes	ABY	Scrypt	2014
ArbitCoin	ARB	SHA-256	2015
ARCHcoin	ARCH	Scrypt	2014
Argentum	ARG	Scrypt	2013
Aricoin	ARI	Scrypt	2014
Arkhash	ARK	SHA-256	2014
AsiaCoin	AC	Scrypt	2014
Asiadigicoin	ADCN	Scrypt	2016
AsicCoin	ASC	SHA-256	2013
Astrocoin	ASR	Scrypt	2014
AtheistCoin	ATH	Groestl	2014
AuroraCoin	AUR	SHA-256;Scrypt;Qubit;Skein;Groestl	2014
AurumCoin	AU	SHA-256	2014
Axiom	AXIOM	Axiom	2015
AXIScoin	AXIS	X13	2014
Badgercoin	BDG	X11	2014
BancorCoin	BNCR	SHA-256	2014
BankCoin	BANK	X11	2014
Bantam	BNT	X11	2015
BanxShares	BANX	Transaction fee	2014
BatCoin	BAT	Scrypt	2014
Battlecoin	BCX	SHA-256	2013
BBQCoin	BQC	Scrypt	2012
BCTCoin	BCT	Keccak	2014
BeaoCoin	BEC	Scrypt	2013
BeatleCoin	BEA	Scrypt	2014
BeaverCoin	BVC	Scrypt	2014
BeeCoin	BEE	Scrypt	2014
BeerCoin	BEER	Scrypt	2014
BeliCoin	BELI	Scrypt	2014
Bells	BEL	Scrypt	2013
Benjamins	BEN	SHA-256	2014
Betacoin	BET	SHA-256	2013
BigBullion	BIG	SHA-256	2014
BigCoin	HUGE	Blake256	2014
BigUp	BIGUP	Transaction fee	2016
Bikercoin	BIC	CPU mining; CryptoNight	2016
BillionCoin	BIL	Scrypt	2013
BilShares	BILS	Transaction fee	2013
BiosCrypto	BIOS	base Quark	2015
BipCoin	BIP	CPU mining; CryptoNight	2016
Bitbar	BTB	Scrypt	2013
BitBean	BITB	SHA-256	2015
BitBlock	BBL	X15	2014
BitcoinCore	BCc	SHA-256	
BitcoinScrypt	BTCS	Scrypt	2013
BitcoinTX	BTX	X11	2015
BitcoinUnlimited	BTU	SHA-256	
