,name,marketcap,symbol,year,algo,name2
0,Bitcoin,1.57E+11,BTC,2009,Proof-of-Work,Bitcoin
1,Ethereum,20256946583,ETH,2015,Proof-of-Work,Ethereum
2,XRP,11611171765,,2013,ECDSA,XRP
3,Bitcoin Cash,4920556539,,2017,Proof-of-Work,Bitcoin Cash
4,Tether,4186818205,,2014,SHA-256,Tether
5,Litecoin,3836414728,LTC,2011,Proof-of-Work,Litecoin
6,EOS,3246677646,,2017,,
7,Binance Coin,3179985180,,,Proof-of-Stake,
8,Bitcoin SV,2269213381,,2018,SHA-256,Bitcoin SV
9,Stellar,1459172668,XLM,2014,Proof-of-Stake,Stellar
10,TRON,1274999224,,2017,,
11,Cardano,1192268203,,,,
12,Monero,1090476909,XMR,2014,CryptoNight,Monero
13,Chainlink,1033588089,,,,
14,UNUS SED LEO,987600501.9,,,,
15,Huobi Token,887443212.3,,,,
16,NEO,868624275.2,,,Proof-of-Stake,
17,Tezos,778346068.2,,,,
18,Cosmos,755694496.5,,,Proof-of-Stake,
19,IOTA,728852185,,,,
20,Maker,670774367.3,,,,
21,Dash,631552497.2,DASH,2014,X11,Dash
22,Ethereum Classic,541069032.5,,,,
23,Ontology,492121086.4,,,,
24,USD Coin,449709919,,,,
25,Crypto.com Coin,433478653.3,,,,
26,VeChain,426996552.7,,,,
27,NEM,378860292.4,XEM,2015,blockchain,NEM
28,Basic Attention Token,376618420.6,,,,
29,Dogecoin,328051591.5,DOGE,2013,Scrypt,Dogecoin
30,Zcash,288109779.9,ZEC,2016,Equihash,Zcash
31,Decred,251853300.9,DCR,2015,Blake256,Decred
32,Paxos Standard,231568024.2,,,,
33,HedgeTrade,214059025.4,,,,
34,Qtum,209499855.6,,,,
35,Centrality,201749898.4,,,,
36,0x,170046946.6,,,,
37,TrueUSD,170032782.6,,,,
38,Synthetix Network Token,161217666.8,,,,
39,Holo,159361766.2,,,,
40,OmiseGO,147061013.8,,,,
41,V Systems,143656937.2,,,,
42,Bitcoin Gold,141673023.6,,,,
43,Ravencoin,131901699,,,,
44,ZB,128565978.5,,,,
45,Augur,127941720.7,REP,2015,Smart contract,Augur
46,Nano,124943703.3,,,,
47,ABBC Coin,121127290.6,,,,
48,Komodo,121105885.6,KMD,2016,Equilhash,Komodo
49,Algorand,119814244.2,,,,
50,EDUCare,110852686.1,,,,
51,LUNA,108093340.4,,,,
52,Dai,103692518.6,,,,
53,Bytom,99239605.56,,,,
54,KuCoin Shares,98135822.62,,,,
55,Lisk,97313663.16,LISK,2016,Sidechain,Lisk
56,BitTorrent,91611563.92,,,,
57,Bitcoin Diamond,91397993.84,,,,
58,DigiByte,87731409.07,DGB,2014,Other,DigiByte
59,Silverway,85968725.76,,,,
60,ICON,84759561.82,,,,
61,Siacoin,84616061.08,SC,2015,blake2b,Siacoin
62,Seele,84470383.32,,,,
63,Swipe,83437227.93,,,,
64,IOST,79444807.35,,,,
65,THETA,79129608.2,,,,
66,FTX Token,78908713.57,,,,
67,Waves,78217357.51,WAVES,2016,Transaction fee,Waves
68,Bytecoin,78150738.94,,,,
69,HyperCash,78069061.95,,,,
70,DxChain Token,76470798.16,,,,
71,Quant,76187741.98,,,,
72,Verge,74185162.88,XVG,2014,Other,Verge
73,BitShares,73893904.53,BTS,2014,Transaction fee,BitShares
74,MCO,69987729.32,,,,
75,MonaCoin,69801518,MONA,2013,Lyra2RE,MonaCoin
76,iExec RLC,69342096.13,,,,
77,Aeternity,63355945.95,,,,
78,Nexo,62612241.7,,,,
79,MaidSafeCoin,61514780.16,MAID,2014,Transaction fee,MaidSafeCoin
80,Zilliqa,58596750.08,,,,
81,BitMax Token,55633618.87,,,,
82,Ardor,54956823.34,,,,
83,Steem,53599018.03,,,,
84,Enjin Coin,52158726.42,,,,
85,Chiliz,51163406.36,,,,
86,Energi,50479666.04,,,,
87,Aurora,50297032.19,,2014,scrypt,Aurora
88,RIF Token,46331899.61,,,,
89,aelf,46209699.03,,,,
90,Ren,45686997.33,,,,
91,Status,45292896.91,,,,
92,Golem,44993613.6,,,,
93,UNI COIN,43847291.74,,,,
94,ILCoin,43839639.81,,,,
95,Horizen,43626467.64,,,,
96,Newton,43619071.01,,,,
97,Grin,42470157.87,,,,
98,Pundi X,41581023.37,,,,
99,Crypterium,40688163.88,,,,
